Name,Title,Betweenness Centrality,Closeness Centrality,Clustering Coefficient,Custom Menu Item Action,Custom Menu Item Text,Description,Eigenvector Centrality,Favorites,Followed,Followers,ID,Image File,In-Degree,Joined Twitter Date (UTC),Label,Layout Order,Location,louvain,Opacity,Out-Degree,PageRank,Reciprocated Vertex Pair Ratio,Shape,Size,Time Zone,Time Zone UTC Offset (Seconds),Tooltip,Tweets,Web,X,Y
TaylorBusseyy,TaylorBusseyy,0,0.00041,0,http://twitter.com/TaylorBusseyy,Open Twitter Page for This Person,"Just a girl, living in captivity. Runner. Rebel. Stunner. #SoRad 90s musik fan",0,3767,332,396,605,http://a0.twimg.com/profile_images/3065465172/1c234171a5641d503e6b9bafdce76ab9_normal.jpeg,2,6/3/2009 7:40:27 PM,TaylorBusseyy,12.0221712453091,Cali-for-nia,1.0,99.9669268716384,2,0.35635,1,Image,37.253211127606,Central Time (US & Canada),-21600,"TaylorBusseyy

RT @Kerryepp: "If you tax people
who work and pay people who don't,
do not be surprised if you find
a lot of people not working"-Arthur
Laffer #tcot #my2k",9158,http://dani-cali-fornia.tumblr.com,783.483337402344,2381.43896484375
WeberLuke,WeberLuke,0.322835,0.00046,0,http://twitter.com/WeberLuke,Open Twitter Page for This Person,cheers,4E-06,5,367,95,545,http://a0.twimg.com/profile_images/1670758640/image_normal.jpg,1,8/25/2011 1:11:53 AM,WeberLuke,3.64420774824334,STL,1.0,99.9920657899133,3,0.30941,0,Image,18.0582198412186,Central Time (US & Canada),-21600,"WeberLuke

RT @JC7109: Obama Fun Facts.....
#my2k #tcot #mapoli http://t.co/ZkBMoDSA",1323,,4013.81225585938,2368.02978515625
pattycakeps,pattycakeps,292.206389,0.000587,0.463562753036437,http://twitter.com/pattycakeps,Open Twitter Page for This Person,,0.005632,6536,718,771,256,http://a0.twimg.com/profile_images/2643183059/f77ca3b2f04c8090fb05ff327f3fe63d_normal.jpeg,32,3/8/2012 10:42:24 PM,pattycakeps,22.4598334094275,,2.0,99.935607621296,33,1.125905,0.666666666666667,Image,61.1672368166269,,,"pattycakeps

RT @areyou0: There is absolutely
no 1 that I would want as President
of the United States more than
President Barack Obama!! A man
for the people! #My2k",28130,,8338.1767578125,5345.0322265625
bugg_ray,bugg_ray,540.134122,0.000563,0.237959183673469,http://twitter.com/bugg_ray,Open Twitter Page for This Person,"Husband, Father, Titans Fan, Arizona Cardinals Fan, and last but not least US Army 1SG-Retired. Proud member of the 47% of America. Love My Country! My opinions",0.005088,17,825,659,211,http://a0.twimg.com/profile_images/2394661670/image_normal.jpg,37,3/15/2012 4:21:33 AM,bugg_ray,19.3424516430775,,2.0,99.9449616373983,48,1.48759,0.7,Image,54.024914477506,,,"bugg_ray

RT @areyou0: There is absolutely
no 1 that I would want as President
of the United States more than
President Barack Obama!! A man
for the people! #My2k",8371,,7723.4833984375,7083.5712890625
TexasteaPeggy,TexasteaPeggy,15.161113,0.000537,0.275641025641026,http://twitter.com/TexasteaPeggy,Open Twitter Page for This Person,,3.7E-05,100,391,513,444,http://a0.twimg.com/profile_images/3066248564/925cdc888ec4aeb3098e6de2e7ee3b1f_normal.jpeg,10,3/15/2012 7:03:02 PM,TexasteaPeggy,15.278721840514,,1.0,99.9571552655316,13,0.617819,0.615384615384615,Image,44.7143871425805,,,"TexasteaPeggy

RT @JC7109: The new reality....
#my2k #mapoli #tcot http://t.co/APrV1mIV",2438,,1570.92456054688,4875.27685546875
BludDimon,BludDimon,8.072349,0.000556,0.410714285714286,http://twitter.com/BludDimon,Open Twitter Page for This Person,Can't relate to ppl who think Fox News is an viable news source. I am a news and financial junkie.  Love PBO and so happy he was re-elected! Huge animal lover!,0.001057,90,266,148,470,http://a0.twimg.com/profile_images/2683851134/cf3a5dfb6f6e12a89ae838a2e33223ce_normal.png,4,8/20/2012 10:23:33 PM,BludDimon,5.11939733410541,,2.0,99.9876393358649,8,0.360475,0.5,Image,21.4380688052669,Eastern Time (US & Canada),-18000,"BludDimon

RT @areyou0: There is absolutely
no 1 that I would want as President
of the United States more than
President Barack Obama!! A man
for the people! #My2k",1583,,8736.693359375,6561.9423828125
